Instrument,Company Common Name,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity
XOM.N,Exxon Mobil Corp,65.68867,24.47,24.6174,31.46375,338923000000.0,0.23359,259051954878.41,27.2303,168577000000.0,338923000000.0
TTEF.PA,TotalEnergies SE,36.3115,36.93985,36.93985,38.12375,293458000000.0,0.28288,133963532448.071,54.82569,111736000000.0,293458000000.0
BP.L,BP PLC,39.30143,60.0285,44.26348,41.152,287272000000.0,0.48172,88268433641.6762,77.16472,75463000000.0,287272000000.0
CVX.N,Chevron Corp,62.88392,27.11,27.49665,31.79857,239535000000.0,0.18361,226213942594.65,22.41604,139067000000.0,239535000000.0
TTLC.CI,Total Cote d'Ivoire SA,,,,,,,,,,
OXY.N,Occidental Petroleum Corp,80.83587,27.5,24.69636,29.275,75036000000.0,1.32105,27076108639.19,145.70276,20327000000.0,75036000000.0
GAZP.MM,Gazprom PAO,62.48277,,22.04098,,27047230000000.0,0.15352,8126643508312.0,30.63698,16251519000000.0,27047230000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,52.05742,7.18406,7.18406,,6494259000000.0,0.20287,2061653533975.18,34.19102,2775862000000.0,6494259000000.0
MGMC.OM,Muscat Gases Company SAOG,30.38896,,23.25434,,10825511.0,-0.19206,4920255.7970261,12.6356,6345779.0,10825511.0
IMO.TO,Imperial Oil Ltd,77.20318,24.4898,24.4898,25.2,40782000000.0,0.13908,31733789148.32,23.81412,21735000000.0,40782000000.0
SU.TO,Suncor Energy Inc,80.93242,27.51,26.05027,27.15,83739000000.0,0.44106,46115782584.3,50.12837,36614000000.0,83739000000.0
ENI.MI,Eni SpA,44.3654,51.01,45.34394,49.987,137765000000.0,0.41726,44060369042.56,74.41991,44437000000.0,137765000000.0
600028.SS,China Petroleum & Chemical Corp,49.74649,27.14046,21.52139,23.5,1889255000000.0,0.1149,479672057251.734,35.72351,775102000000.0,1889255000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,66.99402,,225.00484,,32482875023.8,4.32982,5603096891.97333,532.09447,3877928011.21,32482875023.8
PETR4.SA,Petroleo Brasileiro SA Petrobras,71.88502,29.23371,29.23371,38.0,972951000000.0,0.68221,387861459478.0,84.1463,387329000000.0,972951000000.0
OMVV.VI,OMV AG,34.51615,42.423,42.423,15.01143,53798000000.0,0.26273,16383447044.1633,49.34079,13022000000.0,53798000000.0
REP.MC,Repsol SA,38.62125,44.71202,41.60314,38.29143,56254000000.0,0.23774,15939905209.108,63.57813,22414000000.0,56254000000.0
LKOH.MM,NK Lukoil PAO,62.10176,19.8,19.79919,20.0,6864749000000.0,0.01507,4552128056340.0,16.757,4515034000000.0,6864749000000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,53.57351,8.86846,8.86845,26.51429,5854493210000.0,0.38731,2061907761863.4,43.0017,2598519190000.0,5854493210000.0
YPFD.BA,YPF SA,70.9402,,101.27042,,2390068000000.0,0.82435,306134012216.35,95.84008,839892000000.0,2390068000000.0
SNGS.MM,Surgutneftegaz PAO,18.17091,,,,5841192913000.0,-0.25959,1737139650235.25,,5435155890000.0,5841192913000.0
SIBN.MM,Gazprom Neft' PAO,62.6865,17.95,17.94786,,4960473000000.0,0.09966,2612516831166.54,32.60103,2348082000000.0,4960473000000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,72.20506,,31.16788,,27192000000.0,0.62359,92573624031.25,91.19154,12295000000.0,27192000000.0
600256.SS,Guanghui Energy Co Ltd,64.7764,,19.02765,,59708656125.85,1.29393,42940038609.06,139.06132,21121135036.3,59708656125.85
