Instrument,Company Common Name,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Capital Expenditures - Total,Year
0295.HK,Kong Sun Holdings Ltd,Hong Kong,BB,2.99580766649117,37.24656,,,,8234870000.0,0.82802,743784313.966666,101.39973,3678027000.0,8234870000.0,,,992756000.0,15725000.0,2021.0
ENGEPEC1.LM,Enel Generacion Peru SAA,Peru,A,22.4155290173331,77.16571,,30.37582,,4285808000.0,0.03333,4958829115.47,10.77102,2587718000.0,4285808000.0,,,1789197000.0,187960000.0,2021.0
PSWW.PK,Principal Solar Inc,United States of America,CCC+,,,,,,,,,,,,,,,,2021.0
ABIO.PA,Albioma SA,France,BBB-,7.95978916258926,75.30897,25.31696,25.31696,28.15,1876746000.0,1.5098,1098744171.16,168.97159,502942000.0,1876746000.0,,,573284000.0,162928000.0,2021.0
WEB.V,Westbridge Energy Corp,Canada,AA,-44.3238778804695,,,,,4888487.0,-0.72598,23326707.575,0.15551,4358947.0,4888487.0,,,0.0,1324167.0,2021.0
PWCO.PK,PwrCor Inc,United States of America,B+,,,,,,,,,,,,,,,,2021.0
BLX.TO,Boralex Inc,Canada,BBB+,3.62325898509789,63.18901,,40.90909,,5751000000.0,3.01404,3558816585.36,322.79108,1001000000.0,5751000000.0,,24000000,691000000.0,167000000.0,2021.0
REVV.V,ReVolve Renewable Power Corp,Canada,AA,,,,,,,,,,,,,,,,2021.0
NSEN.AS,New Sources Energy NV,Netherlands,A-,,,,,,,,,,,,,,,,2021.0
KPO.AX,Kalina Power Ltd,Australia,A+,-196.032958690251,0.36937,,,,5489061.0,-1.26518,27272753.73,85.39979,13805676.0,5489061.0,,,0.0,4839.0,2021.0
NKWh.V,Oceanic Wind Energy Inc,Canada,BB+,,,,,,273303.0,,9856370.25,,-847517.0,273303.0,,,0.0,,2021.0
000591.SZ,CECEP Solar Energy Co Ltd,China,BBB-,6.99556750253986,66.27076,14.015,14.015,,39776416186.42,1.43611,33679497958.4,152.23064,14891449746.55,39776416186.42,,112641380,7015771850.0,774822567.2,2021.0
EP.BK,Eastern Power Group PCL,Thailand,BBB+,-0.648200826406297,54.43116,,34.02545,,11529937044.96,0.31815,5289903991.0354,96.73701,4300574380.34,11529937044.96,,,699914160.0,4873249580.09,2021.0
000862.SZ,Ning Xia Yin Xing Energy Co Ltd,China,BB+,7.056386469761,80.08787,,4.49123,,7436186032.97,1.36632,6256214313.42,138.76467,2800205412.71,7436186032.97,,67880,1359465840.0,31339210.35,2021.0
HRPKk.DE,7C Solarparken AG,Germany,BBB-,3.99251487904234,82.15762,5.56944,5.56944,25.76667,507920000.0,1.09869,331794945.185,135.5295,185883000.0,507920000.0,,,56217000.0,17027000.0,2021.0
