Instrument,Company Common Name,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Capital Expenditures - Total,Year
ORSTED.CO,Orsted A/S,Denmark,BB,4.77671782109775,59.69118,18.0,18.00105,17.88333,270385000000.0,0.51321,351102278016.0,68.74449,64072000000.0,270385000000.0,,,77673000000.0,34569000000.0,2021.0
IBE.MC,Iberdrola SA,Spain,A,6.64098925603081,58.01752,30.18927,30.37613,24.42625,141752000000.0,0.68254,66270976080.0,78.17054,40479000000.0,141752000000.0,,,39114000000.0,6918000000.0,2021.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,2.40996617889495,71.03724,15.0,10.96063,15.85,140912000000.0,1.19734,183185119095.84,121.14081,37202000000.0,140912000000.0,,,17069000000.0,7048000000.0,2021.0
ENEI.MI,Enel SpA,Italy,BB+,5.01860787838648,40.86788,29.87273,29.87273,29.45556,206940000000.0,1.28322,71634426899.516,169.65897,29653000000.0,206940000000.0,,,84104000000.0,12201000000.0,2021.0
ORSTED.CO,Orsted A/S,Denmark,BB,4.9725513210823,61.81914,10.25167,10.25167,22.93333,196719000000.0,0.12282,522743872980.0,42.96767,81376000000.0,196719000000.0,,,50151000000.0,34569000000.0,2020.0
IBE.MC,Iberdrola SA,Spain,A,5.37856980316359,60.19769,21.51,21.43281,24.73,122518000000.0,0.7657,74295713700.0,85.05231,35412000000.0,122518000000.0,,,33145000000.0,6918000000.0,2020.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,4.42088946848155,71.89859,13.02,-1.78201,11.125,127684000000.0,1.04854,151142568666.6,107.31376,36513000000.0,127684000000.0,,,17997000000.0,7048000000.0,2020.0
ENEI.MI,Enel SpA,Italy,BB+,8.2908465266049,48.15941,27.59,33.69943,27.7125,163453000000.0,1.13353,84139443233.096,139.36776,28325000000.0,163453000000.0,,,63642000000.0,12201000000.0,2020.0
ORSTED.CO,Orsted A/S,Denmark,BB,7.72799873279037,54.96889,29.84026,29.84026,25.1,192860000000.0,0.22239,289642564120.0,47.08693,73082000000.0,192860000000.0,,,70398000000.0,22445000000.0,2019.0
IBE.MC,Iberdrola SA,Spain,A,5.85253700519767,59.71402,19.06612,19.06612,23.36667,122369006000.0,0.79921,58403820960.0,85.86626,37678307000.0,122369006000.0,5786914000.0,,36437908000.0,5580286000.0,2019.0
